Geração,Score Melhor Individuo,Score Medio Individuos
0,161.000000,53.599998
1,200.000000,50.299999
2,200.000000,67.300003
3,200.000000,50.099998
4,200.000000,60.000000
5,200.000000,105.199997
6,250.000000,145.000000
7,250.000000,170.000000
8,250.000000,185.000000
9,250.000000,195.000000
10,250.000000,225.000000
11,250.000000,220.000000
12,250.000000,225.000000
13,250.000000,225.000000
14,250.000000,225.000000
15,250.000000,225.000000
16,250.000000,215.000000
17,250.000000,200.000000
18,250.000000,195.000000
19,250.000000,190.000000
20,250.000000,195.000000
21,250.000000,190.100006
22,250.000000,185.100006
23,250.000000,185.000000
24,250.000000,175.100006
25,250.000000,165.000000
26,250.000000,155.000000
27,250.000000,156.000000
28,250.000000,161.000000
29,250.000000,145.100006
30,250.000000,165.000000
31,250.000000,100.300003
32,250.000000,160.000000
33,250.000000,165.100006
34,250.000000,141.000000
35,260.000000,124.099998
36,300.000000,123.599998
37,300.000000,183.800003
38,300.000000,197.899994
39,300.000000,217.100006
40,300.000000,198.100006
41,300.000000,228.000000
42,300.000000,217.100006
43,300.000000,222.100006
44,300.000000,242.100006
45,300.000000,251.199997
46,300.000000,252.399994
47,300.000000,241.199997
48,300.000000,238.100006
49,300.000000,232.100006
50,300.000000,233.100006
51,300.000000,218.100006
52,300.000000,242.199997
53,300.000000,232.500000
54,300.000000,246.000000
55,300.000000,208.500000
56,300.000000,224.300003
57,300.000000,226.000000
58,300.000000,204.000000
59,300.000000,131.699997
60,300.000000,167.300003
61,300.000000,179.899994
62,300.000000,201.899994
63,300.000000,199.399994
64,300.000000,212.100006
65,300.000000,186.199997
66,400.000000,193.600006
67,400.000000,185.399994
68,400.000000,220.000000
69,400.000000,215.000000
70,400.000000,251.199997
71,400.000000,260.500000
72,400.000000,291.299988
73,400.000000,261.799988
74,400.000000,251.899994
75,400.000000,270.799988
76,400.000000,290.600006
77,400.000000,300.299988
78,400.000000,280.600006
79,400.000000,275.600006
80,400.000000,295.500000
81,400.000000,300.399994
82,400.000000,271.600006
83,400.000000,276.299988
84,400.000000,256.299988
85,400.000000,265.200012
86,400.000000,231.399994
87,400.000000,235.300003
88,400.000000,270.399994
89,400.000000,260.200012
90,400.000000,155.399994
91,400.000000,230.399994
92,400.000000,195.600006
93,400.000000,171.399994
94,400.000000,193.000000
95,400.000000,192.699997
96,400.000000,170.699997
97,400.000000,186.800003
98,400.000000,167.600006
99,400.000000,162.399994
100,400.000000,181.500000
101,400.000000,142.800003
102,400.000000,166.199997
103,400.000000,145.399994
104,400.000000,171.100006
105,400.000000,170.899994
106,400.000000,120.699997
107,400.000000,31.000000
108,400.000000,75.900002
109,400.000000,75.199997
110,400.000000,80.099998
111,400.000000,126.599998
112,400.000000,157.000000
113,400.000000,206.600006
114,400.000000,181.600006
115,400.000000,171.100006
116,400.000000,177.100006
117,400.000000,206.899994
118,400.000000,225.699997
119,400.000000,240.699997
120,400.000000,226.800003
121,400.000000,232.899994
122,400.000000,250.800003
123,400.000000,211.199997
124,400.000000,220.899994
125,400.000000,197.600006
126,400.000000,240.300003
127,400.000000,178.600006
128,400.000000,206.699997
129,400.000000,181.800003
130,400.000000,166.000000
131,400.000000,180.699997
132,400.000000,201.500000
133,400.000000,186.500000
134,400.000000,225.600006
135,400.000000,140.600006
136,400.000000,157.300003
137,400.000000,112.900002
